id,name,icon,created_at,updated_at
79,Leche,NULL,"2022-09-15 10:16:11","2022-09-15 10:16:11"
80,"Harina de almendras",NULL,"2022-09-15 10:16:27","2022-09-15 10:16:27"
81,"Suero costeño",NULL,"2022-09-15 10:17:04","2022-09-15 10:17:04"
82,"Frijoles rojos",NULL,"2022-09-15 10:17:16","2022-09-15 10:17:16"
83,"Menta fresca",NULL,"2022-09-15 10:17:44","2022-09-15 10:17:44"
84,"Leche condensada",NULL,"2022-09-15 10:17:59","2022-09-15 10:17:59"
85,"Queso campesino ",NULL,"2022-09-15 10:18:21","2022-09-15 10:18:21"
86,"Queso ricotta",NULL,"2022-09-15 10:18:47","2022-09-15 10:19:53"
87,"Pierna de cerdo",NULL,"2022-09-15 11:39:20","2022-09-15 11:39:20"
88,Achiote,NULL,"2022-09-15 11:39:31","2022-09-15 11:39:31"
89,"Chile habanero",NULL,"2022-09-15 11:39:49","2022-09-15 11:39:49"
90,"Salsa de soja",NULL,"2022-09-15 12:03:26","2022-09-15 12:03:26"
91,Jengibre,NULL,"2022-09-15 12:03:37","2022-09-15 12:03:37"
92,Almendras,NULL,"2022-09-15 12:03:46","2022-09-15 12:03:46"
93,"Harina de maiz",NULL,"2022-09-15 12:03:59","2022-09-15 12:03:59"
94,"Papel de harina",NULL,"2022-09-15 12:11:13","2022-09-15 12:11:13"
95,"Setas shiitake frescas",NULL,"2022-09-15 12:11:44","2022-09-15 12:11:44"
96,"fideos de soja",NULL,"2022-09-15 12:12:07","2022-09-15 12:12:07"
97,Piña,NULL,"2022-09-15 12:13:24","2022-09-15 12:13:24"
98,"Conserva de piña",NULL,"2022-09-15 12:13:34","2022-09-15 12:13:34"
99,"Costilla de cerdo",NULL,"2022-09-15 12:14:29","2022-09-15 12:14:29"
100,"Vino de arroz",NULL,"2022-09-15 12:14:59","2022-09-15 12:14:59"
101,Maizena,NULL,"2022-09-15 12:15:12","2022-09-15 12:15:12"
102,"Vinagre rojo",NULL,"2022-09-15 12:15:30","2022-09-15 12:15:30"
103,"Filete de ternera ",NULL,"2022-09-15 12:20:34","2022-09-15 12:20:34"
104,Puerro,NULL,"2022-09-15 12:20:47","2022-09-15 12:20:47"
105,Escalonias,NULL,"2022-09-15 12:21:02","2022-09-15 12:21:02"
106,Comino,NULL,"2022-09-15 12:21:33","2022-09-15 12:21:33"
107,"Chile en copos",NULL,"2022-09-15 12:21:53","2022-09-15 12:21:53"
108,"Aceite sésamo",NULL,"2022-09-15 12:22:13","2022-09-15 12:22:13"
