id,name,icon,created_at,updated_at
1,"Hindu ",hindu.png,"2022-09-10 12:35:57","2022-09-13 20:49:06"
2,Mexicana,mexicana.png,"2022-09-10 12:36:14","2022-09-13 20:49:06"
3,Arabe,arabe.png,"2022-09-10 12:36:20","2022-09-13 20:49:06"
4,Saludable,saludable.png,"2022-09-10 13:30:45","2022-09-13 20:29:21"
5,"Comida de Mar",mar.png,"2022-09-10 13:31:01","2022-09-13 19:50:58"
6,Italiana,italiana.png,"2022-09-10 20:33:41","2022-09-13 20:29:21"
7,Colombiana,bebidas.png,"2022-09-11 02:54:52","2022-09-13 20:29:21"
